GeneID	adipose.tissue	adrenal.gland	appendix	urinary.bladder	bone.marrow	colon	duodenum	endometrium	esophagus	fallopian.tube	gall.bladder	heart	kidney	liver	lung	lymph.node	ovary	pancreas	placenta	prostate	rectum	salivary.gland	small.intestine	smooth.muscle	spleen	stomach	testis	thyroid	tonsil
ENSG00000000003	0	0.980665166	0	0.595309064	2.7978964	0.913018541	2.205071851	0.71111119	3.415771939	6.396880992	2.524862304	0	3.171722316	2.084975222	2.055048578	0.189123969	1.389241481	0.070856838	0.589280183	34.95872438	0.596781077	66.58727644	1.696202343	0.174880034	0.457215333	2.509848047	0.121233998	1.186307706	0.327830339
ENSG00000000419	5.953538446	14.15045602	2.44523836	7.057255608	28.07772191	5.142251427	19.82426527	13.2091018	6.444931112	22.18415145	9.16057898	7.219688906	10.59442816	7.365703075	25.77063159	21.46274341	10.18653826	53.07541671	9.503691288	7.73643284	10.02448244	21.45409091	9.826644975	4.229221199	13.13551443	8.916860229	16.67791496	35.80382511	10.09262369
ENSG00000000457	0.010492645	0.287606658	0.088428936	0.125994445	0.147970208	0.08659295	0.335873718	0.489020338	0.029770316	1.25291399	0.198975261	0.062599986	0.532432415	0.264925434	0.445785099	0.216431925	0.046168901	1.405882695	0.333951757	0.237798256	1.019634099	1.517644528	0.407933059	0.316915638	0.06662205	0.367044272	0.285509221	0.426017886	0.277837181
ENSG00000000460	0	0	0	0	0	0	0.007964309	0.007160219	0	0	0	0	0	0	0.054825178	0	0.051839805	0.149941647	0	0	0	0	0.004489323	0	0	0.006394282	0.148947945	0	0.006979265
ENSG00000000938	3.8868089	0.585010587	10.55288657	2.058318743	40.78741543	2.947726874	0.100094851	0.711688925	0.283216987	0.03162765	2.542862663	0.009242278	0.041832084	0.050649891	4.806201896	0.973729795	0.243028426	2.460263456	0.140250756	0.437965318	20.15603905	0.037831139	0.451424634	0.044826883	9.161799711	0.460431599	0.056115109	0.094565714	1.252989209
ENSG00000000971	478.0936825	94.08996049	158.995525	94.73422074	5.519875214	53.34905244	50.0319317	46.22840592	154.0218416	28.76707146	247.5405871	30.27344154	74.99829315	21.39848436	42.04802714	49.53259528	141.1861541	15.71148626	68.14948087	95.15796306	69.08821829	38.21824828	44.97537361	71.8863764	30.01454096	68.62491809	82.50768037	36.43286576	11.27198565
ENSG00000001036	0.946623525	3.246301524	0.209177484	3.774670368	5.247986204	0.65013253	2.711407911	0.107904796	0.213704125	1.685245517	1.972821576	0.183852606	0.247013242	2.654471654	1.08403322	0.422224038	0.631166127	3.750354337	0.623874054	4.110475941	1.136785846	0.721370262	0.751303322	0.157292688	0.557454904	0.600563508	1.6633127	11.94556212	0.36481549
ENSG00000001084	11.70707081	18.2015281	10.22027775	24.27557419	9.914365646	7.71850223	19.58757227	17.06564148	7.916307147	39.99686783	10.13812325	4.951063083	9.998804352	38.47531446	28.48381091	6.436645605	22.63017144	19.35448934	13.23104513	18.72434984	19.16807731	12.26243168	24.32665181	5.827699197	29.49866056	10.70936606	20.22876006	8.340118753	8.779036937
ENSG00000001167	0.24447986	1.412266234	0	0.286545229	0	1.00215798	3.069210464	5.449482678	0.208878548	5.124339708	0.345321748	0.423716498	0.364630434	1.242379569	3.22019877	9.522095751	6.135149689	2.279573204	0.407645091	1.102983251	41.13897869	0	0	1.666096479	0	0.384166131	5.747554364	3.098085583	10.17540192
ENSG00000001460	0	0	0	0	0	0	0	0	0	0.015775032	0	0	0	0.121512362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.086678595
ENSG00000001461	0	0	0	0	0	0	0.121212845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111135958	0	0	0	0	0	0	0.078898256
ENSG00000001497	0.331520878	0.702056711	0.817391546	0.647793397	6.202645818	1.057249561	0.893318526	1.821790127	1.059171658	3.066244908	0.603929883	2.431215565	0.414067359	0.369979281	2.017006339	1.798742841	1.669637784	0.710043913	1.217052833	1.621497983	1.586317434	0.608285148	0.983364812	0.300644685	0.646713544	0.431470834	5.097009308	0.911219215	1.630812707
ENSG00000001561	1.086447923	0.806572519	1.520019232	2.847470892	10.7194985	0.760982572	1.193949106	0.396919796	0.577548854	1.333847708	2.208875795	0.230849064	2.271481045	1.23314433	3.271035484	0.470771516	0.71475635	2.332217215	0.292177561	1.125879404	0.077380438	1.096218375	1.570145775	0.233210172	6.679845017	3.312347646	1.469884717	1.002301305	2.498026816
ENSG00000001617	0.295368699	0.605797941	0.025703206	0	0	0	0.05258582	0.067066976	1.401306013	0.371117465	0	0.017295948	0.00894383	0.098229364	0.177246127	0.010219832	0.06811007	0	0.237468909	0.31169867	0.002748297	0	0.106416872	0.079521214	0	0.097141405	0	0.306870962	0.00486577
ENSG00000001626	0	0	0.040805947	0.075365223	0	0.005140399	0.027751389	0	0	0	0.079209602	0.119887924	0.032349791	0.012809397	0.024378593	0	0.231920618	4.223275117	0.008556678	0	0.027374998	0.811950151	0.063431994	0	0	0.021092347	0.035980124	0	0.050588509
