GeneID	adipose.tissue	adrenal.gland	appendix	urinary.bladder	bone.marrow	colon	duodenum	endometrium	esophagus	fallopian.tube	gall.bladder	heart	kidney	liver	lung	lymph.node	ovary	pancreas	placenta	prostate	rectum	salivary.gland	small.intestine	smooth.muscle	spleen	stomach	testis	thyroid	tonsil
ENSG00000000003	10	10	3	26	0	24	12	15	19	37	15	2	18	23	7	2	30	5	10	14	24	27	8	6	5	9	20	14	5
ENSG00000000419	26	44	30	35	31	32	26	33	29	27	30	26	22	17	23	39	27	11	33	30	30	17	29	25	29	24	38	36	39
ENSG00000000457	2	3	4	4	1	4	3	4	3	4	4	1	3	2	3	5	4	1	3	4	5	2	3	3	4	3	4	4	4
ENSG00000000460	0.7	0.8	2	1	2	1	1	2	1	1	1	0	0.5	0.6	0.8	2	1	0	2	1	2	0	1	1	1	0.8	5	0.9	4
ENSG00000000938	6	3	51	9	106	2	3	4	4	4	10	0.9	1	2	22	19	0.9	1	5	2	2	1	4	6	53	2	1	2	13
ENSG00000000971	24	20	18	48	0	21	12	6	25	6	58	19	8	253	18	9	49	2	6	6	33	9	19	9	5	22	6	9	7
ENSG00000001036	15	22	17	20	11	23	22	20	7	17	19	10	24	11	17	9	18	6	27	14	33	6	22	16	14	20	9	20	11
ENSG00000001084	8	7	6	15	9	8	14	8	12	27	10	3	9	28	3	7	3	2	3	9	10	4	10	5	14	10	5	12	8
ENSG00000001167	7	7	12	12	16	10	7	16	8	11	12	4	7	5	10	17	17	3	10	12	12	5	8	10	11	10	35	16	17
ENSG00000001460	1	1	0.9	1	0	2	1	1	1	6	1	0.7	1	0	2	0.7	2	0	0.5	2	2	0.7	1	1	0.7	1	10	2	1
ENSG00000001461	3	4	4	6	2	8	5	3	5	9	5	4	6	0.5	8	6	4	2	2	23	7	5	6	5	4	7	3	16	6
ENSG00000001497	7	8	9	6	10	6	5	15	6	12	6	3	6	3	7	11	16	2	8	9	7	6	6	7	10	6	18	7	12
ENSG00000001561	13	15	9	8	26	13	11	5	5	12	8	9	17	4	20	8	2	4	3	17	13	13	10	5	14	11	9	13	6
ENSG00000001617	6	2	4	13	0.9	4	6	3	25	11	5	3	6	0.7	13	1	0.6	0.9	19	11	3	6	7	5	17	7	1	9	5
ENSG00000001626	0	0	2	0.8	0	29	22	0.6	0	1	32	0	0.5	0.5	5	0	0	36	0	1	29	6	8	0	0	2	0.6	0	0
ENSG00000001629	9	11	11	15	4	11	10	13	11	11	13	6	21	4	10	12	11	3	10	9	11	9	11	11	12	10	21	16	11
ENSG00000001630	0	2	0.5	0.5	0.6	0.9	3	0.6	0.8	0.6	0.6	0	0.8	0.8	2	0	0.7	0.6	0.7	1	0.5	0	1	0	0.7	3	5	0.7	0
ENSG00000002330	6	3	2	2	3	7	4	3	1	5	2	3	7	2	3	2	2	2	4	7	1	7	5	2	4	8	5	2	1
ENSG00000002549	34	25	61	35	19	28	34	20	20	24	39	19	42	41	48	51	12	4	34	19	28	15	28	28	45	23	27	22	47
ENSG00000002586	46	15	25	33	11	29	25	40	34	35	51	23	8	17	29	27	45	12	33	51	28	12	33	36	33	23	38	12	25
ENSG00000002587	0	1	1	4	0	1	0.8	2	2	1	8	0	0.7	0	0.7	0.9	17	0	0.5	0.8	0.9	0.7	0.8	0.8	1	2	0.9	0	1
ENSG00000002726	0	0	6	0.6	0.5	95	98	0	0	0	0.6	0	107	0	0	0.7	0	0	200	0.6	51	0	111	1	0	17	2	0	2
ENSG00000002746	0	0	0	0	0	0	0	0	0	0	0.5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0
ENSG00000002822	2	2	3	2	3	2	2	2	1	2	1	1	2	1	3	4	2	0.5	2	2	1	1	1	2	5	2	5	1	3
ENSG00000002834	34	12	37	29	41	39	53	20	15	26	30	8	21	15	33	38	23	6	31	11	47	11	71	24	35	42	8	13	39
ENSG00000002919	7	6	10	7	8	7	4	5	7	6	6	3	6	3	7	11	4	2	6	5	7	4	5	9	11	5	7	11	16
ENSG00000002933	7	6	31	16	0.5	26	26	3	3	8	23	5	59	79	8	14	16	1	13	2	35	2	48	4	10	11	2	0.7	14
ENSG00000003056	18	21	41	32	18	25	16	25	18	26	25	17	23	11	27	39	19	6	24	18	25	17	18	25	40	22	24	32	36
ENSG00000003096	0.8	4	1	3	0	2	1	15	2	6	3	2	5	1	0	0	3	0.6	0.5	2	2	0.6	2	16	0.6	0.5	2	0	0
ENSG00000003147	5	4	3	7	7	7	6	4	4	7	6	9	4	0.7	5	4	0.5	5	3	8	10	9	6	2	4	13	15	5	4
ENSG00000003249	0	2	0.6	0.6	0	0.5	0.5	0	5	1	2	0.7	2	0	1	2	1	1	0	2	0.5	3	0	0	0.6	2	0	0.9	2
ENSG00000003393	3	3	3	4	2	3	4	5	2	5	4	7	5	5	4	2	4	0.9	4	4	3	1	5	4	3	4	4	4	2
ENSG00000003400	4	1	5	6	8	8	12	2	4	4	5	1	2	2	7	5	0.6	0.6	5	1	8	1	8	3	12	6	0.5	3	5
ENSG00000003402	15	9	16	9	13	8	8	11	7	8	11	11	10	4	16	14	5	2	9	9	9	6	9	9	15	8	4	11	10
